Number,GivenName,Surname,Color,Kilograms,Centimeters,Latitude,Longitude
1,Robert,Yates,Blue,98.8,170,52.393806,4.891676
2,Maruko,Ohara,Purple,98.3,173,-19.28565,127.533275
3,Anna,Söderström,Green,78.3,164,-34.179122,-53.855367
4,Laura,Gomes,Green,78.9,173,58.373365,23.626661
5,Karim,Luevano,Blue,57,159,64.215505,-22.062019
6,Bertea,Maurstad,Blue,57.3,174,53.814119,20.394678
7,Leonor,Cavalcanti,Purple,96.1,168,50.387065,7.127609
8,Zsa Zsa,Elek,Blue,53.3,156,-26.020903,28.055856
9,Rodney,Porter,Silver,92.3,189,57.707284,26.991472
10,Robert,Journey,Red,72.7,167,51.291547,0.193699
11,Pearl,Hogpen,Silver,65.9,63,59.396454,10.693119
12,Annetta,Ingveldardóttir,Blue,86.8,168,37.57157,-3.991419
13,Hatsumi,Sangi,Blue,85.8,173,63.17291,7.917633
14,Julia,Azevedo,Purple,81.8,171,-25.474461,25.835673
15,Amadei,Olszewski,Blue,78.1,169,60.673129,22.830539
16,Tỵ,Hồ,Blue,70.4,182,-34.946221,138.656031
17,Inessa,Ponomaryova,Orange,73.7,175,-34.758193,-55.789747
18,Luan,Alves,Green,94.3,181,41.752879,-7.471177
19,Fanni,Szekeres,Green,90.4,155,-25.652954,27.339079
20,Lan,Chung,Green,83.4,169,62.580815,25.710294
21,Ylse,van der Mierden,Purple,92.7,170,-37.696187,175.247861
22,Boris,Alekseeva,Blue,111.8,174,35.287987,-2.851262
23,Naomi,Wells,Black,78.8,159,53.938886,11.649411
24,Yu Jie,Ni,Purple,101.7,167,47.169159,7.319147
25,Evelin,Berggren,White,104.2,172,60.300527,25.136386
26,Sulimbek,Sheripov,Green,74.8,170,64.873168,-14.002396
27,William,Camus,Black,84,178,49.051977,6.112355
28,Cleopatra,Repina,Blue,99.3,174,43.692454,-79.374739
29,Erssike,Meier,Purple,80,172,41.250897,-72.834086
30,Ryan,Lindberg,Blue,91.5,180,53.498235,14.672433
31,Patricia,Viens,Blue,83.6,161,41.255068,-72.926902
32,Ngân,Chung,Blue,69.5,164,51.043177,-3.08522
33,Kristi,Baudoin,Purple,74.7,157,57.571935,18.158815
34,Diogo,Pinto,Blue,68,163,55.520993,11.411614
35,Max,Chowne,Black,97.7,182,40.980679,-5.732387
36,Ý,Hà,Purple,79.4,160,-36.569209,148.544161
37,Gregory,Peterson,Yellow,94.2,168,-37.400008,144.028237
38,Chizuoke,Eberegbulam,Blue,69.6,174,50.937234,5.283653
39,Tosh,Thomsen,Blue,74.4,170,46.870739,7.655848
40,Adnan,Shamon,Green,100.1,170,41.63044,-4.782523
41,Jules,Gauvin,Blue,115.6,181,59.340425,5.275849
42,Ruman,Musliyevich,Green,63,152,49.307649,14.51367
43,Radomił,Czerwinski,Blue,72.7,185,47.007829,16.319392
44,Aaliyah,Fitzgerald,Blue,51.9,174,48.460088,13.957523
45,Kate,Morrison,Purple,84.1,165,27.985643,-82.501967
46,Jörg,Winkel,Blue,79.4,173,50.88387,8.415149
47,Berangaria,Corbin,Blue,90.2,163,50.954247,-3.284602
48,Emmeline,Cailot,Purple,79.9,157,-34.941938,-56.131146
49,Boris,Serna,Silver,96.1,169,69.147258,-51.071309
